Generic Name,Brand Name
CAM)Questions to Ask about Your TreatmentNIH Clinical CenterResearch,Cancer TreatmentTypes of Cancer TreatmentSide Effects of Cancer TreatmentA to Z List of Cancer DrugsDrugs Approved for Different Types of CancerDrugs Approved for Childhood CancersDrugs Approved for Conditions Related to CancerOff-Label Drug UseAccess to Experimental DrugsComplementary & Alternative Medicine
CAM,Complementary & Alternative Medicine
Idecabtagene Vicleucel,Abecma
Paclitaxel Albumin-stabilized Nanoparticle Formulation,Abraxane
Tocilizumab,Actemra
Brentuximab Vedotin,Adcetris
Doxorubicin Hydrochloride,Adriamycin
Nadofaragene Firadenovec-vncg,Adstiladrin
Everolimus,Afinitor
Niraparib Tosylate Monohydrate and Abiraterone Acetate,Akeega
Netupitant and Palonosetron Hydrochloride,Akynzeo
Imiquimod,Aldara
Alectinib,Alecensa
Pemetrexed Disodium,Alimta
Melphalan Hydrochloride,Alkeran for Injection
Melphalan,Alkeran Tablets
Palonosetron Hydrochloride,Aloxi
Brigatinib,Alunbrig
Bevacizumab,Alymsys
Aminolevulinic Acid Hydrochloride,Ameluz
Lifileucel,Amtagvi
Nogapendekin Alfa Inbakicept-pmln,Anktiva
Darbepoetin Alfa,Aranesp
Pamidronate Disodium,Aredia
Anastrozole,Arimidex
Exemestane,Aromasin
Nelarabine,Arranon
Ofatumumab,Arzerra
Recombinant)-rywn,Asparaginase Erwinia Chrysanthemi
Calaspargase Pegol-mknl,Asparlas
Obecabtagene Autoleucel,Aucatzyl
Repotrectinib,Augtyro
Bevacizumab,Avastin
Avapritinib,Ayvakit
Iobenguane I 131,Azedra
Erdafitinib,Balversa
Avelumab,Bavencio
Belinostat,Beleodaq
Bendamustine Hydrochloride,Bendeka
Inotuzumab Ozogamicin,Besponsa
Ropeginterferon Alfa-2b-njft,Besremi
Carmustine,BiCNU
Blinatumomab,Blincyto
Bosutinib,Bosulif
Encorafenib,Braftovi
Lisocabtagene Maraleucel,Breyanzi
Zanubrutinib,Brukinsa
Busulfan,Busulfex
Caplacizumab-yhdp,Cablivi
Cabozantinib-S-Malate,Cabometyx
Acalabrutinib Maleate Monohydrate,Calquence
Leuprolide Mesylate,Camcevi
Alemtuzumab,Campath
Irinotecan Hydrochloride,Camptosar
Fluorouracil Topical,Carac
Ciltacabtagene Autoleucel,Carvykti
Bicalutamide,Casodex
Recombinant HPV Bivalent Vaccine,Cervarix
Clofarabine,Clolar
Glofitamab-gxbm,Columvi
Cabozantinib-S-Malate,Cometriq
Duvelisib,Copiktra
Dactinomycin,Cosmegen
Cobimetinib Fumarate,Cotellic
Ramucirumab,Cyramza
Decitabine,Dacogen
Naxitamab-gqgk,Danyelza
Daratumumab,Darzalex
Daratumumab and Hyaluronidase-fihj,Darzalex Faspro
Glasdegib Maleate,Daurismo
Defibrotide Sodium,Defitelio
Doxorubicin Hydrochloride Liposome,Doxil
Fluorouracil Topical,Efudex
Mirvetuximab Soravtansine-gynx,Elahere
Leuprolide Acetate,Eligard
Rasburicase,Elitek
Epirubicin Hydrochloride,Ellence
Oxaliplatin,Eloxatin
Elranatamab-bcmm,Elrexfio
Tagraxofusp-erzs,Elzonris
Aprepitant,Emend
Elotuzumab,Empliciti
Fam-Trastuzumab Deruxtecan-nxki,Enhertu
Epcoritamab-bysp,Epkinly
Epoetin Alfa,Epogen
Cetuximab,Erbitux
Vismodegib,Erivedge
Apalutamide,Erleada
Asparaginase Erwinia chrysanthemi,Erwinaze
Amifostine,Ethyol
Etoposide Phosphate,Etopophos
Raloxifene Hydrochloride,Evista
Melphalan Hydrochloride,Evomela
Fluorouracil Injection,5-FU
Fluorouracil Topical,5-FU
Toremifene,Fareston
Fulvestrant,Faslodex
Letrozole,Femara
Degarelix,Firmagon
Fluorouracil Topical,Fluoroplex
Pralatrexate,Folotyn
Tivozanib Hydrochloride,Fotivda
Fruquintinib,Fruzaqla
Pegfilgrastim,Fulphila
Sirolimus Protein-Bound Particles,Fyarro
Emapalumab-lzsg,Gamifant
Recombinant HPV Quadrivalent Vaccine,Gardasil
Recombinant HPV Nonavalent Vaccine,Gardasil 9
Pralsetinib,Gavreto
Obinutuzumab,Gazyva
Gemcitabine Hydrochloride,Gemzar
Afatinib Dimaleate,Gilotrif
Imatinib Mesylate,Gleevec
Carmustine Implant,Gliadel Wafer
Filgrastim,Granix
Eribulin Mesylate,Halaven
Propranolol Hydrochloride,Hemangeol
Melphalan Hydrochloride,Hepzato
Trastuzumab and Hyaluronidase-oysk,Herceptin Hylecta
Trastuzumab,Herceptin
Topotecan Hydrochloride,Hycamtin
Hydroxyurea,Hydrea
Palbociclib,Ibrance
Ponatinib Hydrochloride)Idamycin PFS (Idarubicin Hydrochloride,Iclusig
Enasidenib Mesylate,Idhifa
Ifosfamide,Ifex
Aldesleukin,IL-2
Ibrutinib,Imbruvica
Tarlatamab-dlle,Imdelltra
Durvalumab,Imfinzi
Tremelimumab-actl,Imjudo
Imatinib Mesylate,Imkeldi
Talimogene Laherparepvec,Imlygic
Gemcitabine Hydrochloride,Infugem
Axitinib,Inlyta
Decitabine and Cedazuridine,Inqovi
Fedratinib Hydrochloride,Inrebic
Aldesleukin,Interleukin-2
Recombinant Interferon Alfa-2b,Intron A
Gefitinib,Iressa
Romidepsin,Istodax
Inavolisib,Itovebi
Eflornithine Hydrochloride,Iwilfin
Ixabepilone,Ixempra
Ruxolitinib Phosphate,Jakafi
Pirtobrutinib,Jaypirca
Mitomycin,Jelmyto
Dostarlimab-gxly,Jemperli
Cabazitaxel,Jevtana
Ado-Trastuzumab Emtansine,Kadcyla
Palifermin,Kepivance
Pembrolizumab,Keytruda
Tebentafusp-tebn,Kimmtrak
Ribociclib Succinate,Kisqali
Ribociclib Succinate and Letrozole,Kisqali Femara Co-Pack
Selumetinib Sulfate,Koselugo
Adagrasib,Krazati
Tisagenlecleucel,Kymriah
Carfilzomib,Kyprolis
Lazertinib Mesylate Hydrate,Lazcluze
Lenvatinib Mesylate,Lenvima
Chlorambucil,Leukeran
Aminolevulinic Acid Hydrochloride,Levulan Kerastick
Cemiplimab-rwlc,Libtayo
Trifluridine and Tipiracil Hydrochloride,Lonsurf
Toripalimab-tpzi,Loqtorzi
Lorlatinib,Lorbrena
Sotorasib,Lumakras
Mosunetuzumab-axgb,Lunsumio
Leuprolide Acetate,Lupron Depot
Lutetium Lu 177-Dotatate,Lutathera
Lu 177-Dotatate,Lutetium
Denileukin Diftitox-cxdl,Lymphir
Olaparib,Lynparza
Futibatinib,Lytgobi
Margetuximab-cmkb,Margenza
Procarbazine Hydrochloride,Matulane
Trametinib Dimethyl Sulfoxide,Mekinist
Binimetinib,Mektovi
Mesna,Mesnex
Tafasitamab-cxix,Monjuvi
Plerixafor,Mozobil
Bevacizumab,Mvasi
Busulfan,Myleran
Gemtuzumab Ozogamicin,Mylotarg
Paclitaxel Albumin-stabilized Nanoparticle Formulation,Nanoparticle Paclitaxel
Neratinib Maleate,Nerlynx
Pegfilgrastim,Neulasta
Filgrastim,Neupogen
Sorafenib Tosylate,Nexavar
Nilutamide,Nilandron
Ixazomib Citrate,Ninlaro
Filgrastim,Nivestym
Romiplostim,Nplate
Darolutamide,Nubeqa
Pegfilgrastim,Nyvepria
Sonidegib,Odomzo
Nirogacestat Hydrobromide,Ogsiveo
Tovorafenib,Ojemda
Momelotinib Dihydrochloride Monohydrate,Ojjaara
Pegaspargase,Oncaspar
Irinotecan Sucrosofate,Onivyde
Azacitidine,Onureg
Nivolumab,Opdivo
Nivolumab and Relatlimab-rmbw,Opdualag
Relugolix,Orgovyx
Elacestrant Dihydrochloride,Orserdu
Enfortumab Vedotin-ejfv,Padcev
Carboplatin,Paraplatin
Pemigatinib,Pemazyre
Pertuzumab,Perjeta
"Pertuzumab, Trastuzumab, and Hyaluronidase-zzxf",Phesgo
Alpelisib,Piqray
Lutetium Lu 177 Vipivotide Tetraxetan,Pluvicto
Polatuzumab Vedotin-piiq,Polivy
Pomalidomide,Pomalyst
Necitumumab,Portrazza
Mogamulizumab-kpkc,Poteligeo
Epoetin Alfa,Procrit
Aldesleukin,Proleukin
Denosumab,Prolia
Eltrombopag Olamine,Promacta
Sipuleucel-T,Provenge
Mercaptopurine,Purinethol
Mercaptopurine,Purixan
Ripretinib,Qinlock
Luspatercept-aamt,Reblozyl
HPV) Bivalent Vaccine,Recombinant Human Papillomavirus
HPV) Nonavalent Vaccine,Recombinant Human Papillomavirus
HPV) Quadrivalent Vaccine,Recombinant Human Papillomavirus
Methylnaltrexone Bromide,Relistor
Epoetin Alfa,Retacrit
Selpercatinib,Retevmo
Lenalidomide,Revlimid
Revumenib Citrate,Revuforj
Olutasidenib,Rezlidhia
Rituximab,Riabni
Rituximab,Rituxan
Rituximab and Hyaluronidase Human,Rituxan Hycela
Entrectinib,Rozlytrek
Rucaparib Camsylate,Rubraca
Rituximab,Ruxience
Amivantamab-vmjw,Rybrevant
Midostaurin,Rydapt
Asparaginase Erwinia Chrysanthemi [Recombinant]-rywn,Rylaze
Imetelstat Sodium,Rytelo
Granisetron,Sancuso
Isatuximab-irfc,Sarclisa
Talc,Sclerosol Intrapleural Aerosol
Asciminib Hydrochloride,Scemblix
Tamoxifen Citrate,Soltamox
Lanreotide Acetate,Somatuline Depot
Dasatinib,Sprycel
Talc,Sterile Talc Powder
Talc,Steritalc
Regorafenib,Stivarga
Granisetron,Sustol
Sunitinib Malate,Sutent
Siltuximab,Sylvant
Omacetaxine Mepesuccinate,Synribo
Thioguanine,Tabloid
Capmatinib Hydrochloride,Tabrecta
Dabrafenib Mesylate,Tafinlar
Osimertinib Mesylate,Tagrisso
Talquetamab-tgvs,Talvey
Talazoparib Tosylate,Talzenna
Erlotinib Hydrochloride,Tarceva
Bexarotene,Targretin
Nilotinib,Tasigna
Fostamatinib Disodium,Tavalisse
Docetaxel,Taxotere
Tazemetostat Hydrobromide,Tazverik
Brexucabtagene Autoleucel,Tecartus
Afamitresgene Autoleucel,Tecelra
Atezolizumab,Tecentriq
Atezolizumab and Hyaluronidase-tqjs,Tecentriq Hybreza
Teclistamab-cqyv,Tecvayli
Temozolomide,Temodar
Thiotepa,Tepadina
Tepotinib Hydrochloride,Tepmetko
Tislelizumab-jsgr,Tevimbra
Thalidomide,Thalomid
Ivosidenib,Tibsovo
Tisotumab Vedotin-tftv,Tivdak
Fluorouracil Topical,Tolak
Temsirolimus,Torisel
Dexrazoxane Hydrochloride,Totect
Bendamustine Hydrochloride,Treanda
Triptorelin Pamoate,Trelstar
Triptorelin Pamoate,Trelstar Depot
Methotrexate Sodium,Trexall
Arsenic Trioxide,Trisenox
Sacituzumab Govitecan-hziy,Trodelvy
Capivasertib,Truqap
Rituximab,Truxima
Tucatinib,Tukysa
Pexidartinib Hydrochloride,Turalio
Lapatinib Ditosylate,Tykerb
Ravulizumab-cwvz,Ultomiris
Pegfilgrastim,Undencyca
Dinutuximab,Unituxin
Valrubicin,Valstar
Quizartinib Dihydrochloride,Vanflyta
Rolapitant Hydrochloride,Varubi
Panitumumab,Vectibix
Bortezomib,Velcade
Venetoclax,Venclexta
Abemaciclib,Verzenio
Azacitidine,Vidaza
Uridine Triacetate,Vistogard
Larotrectinib Sulfate,Vitrakvi
Dacomitinib,Vizimpro
Pacritinib Citrate,Vonjo
Vorasidenib Citrate,Voranigo
Glucarpidase,Voraxaze
Pazopanib Hydrochloride,Votrient
Zolbetuximab-clzb,Vyloy
Daunorubicin Hydrochloride and Cytarabine Liposome,Vyxeos
Belzutifan,Welireg
Crizotinib,Xalkori
Methotrexate Sodium,Xatmep
Capecitabine,Xeloda
Denosumab,Xgeva
Radium 223 Dichloride,Xofigo
Gilteritinib Fumarate,Xospata
Selinexor,Xpovio
Enzalutamide,Xtandi
Ipilimumab,Yervoy
Axicabtagene Ciloleucel,Yescarta
Trabectedin,Yondelis
